Go Fug Yourself! Mini Mafia.,http://forums.somethingawful.com/showthread.php?threadid=3298444,Savahontas,13
Snow Science Mafia: there's no science like snow science,http://forums.somethingawful.com/showthread.php?threadid=3324589,Clueless Tuquee,15
what. Mafia,http://forums.somethingawful.com/showthread.php?threadid=3342907,bowmore,12
Inception,http://forums.somethingawful.com/showthread.php?threadid=3347004,Chili,15
Captain Blood,http://forums.somethingawful.com/showthread.php?threadid=3350819,Scientastic,15
Vagaries in Venice - A Game of Mafia,http://forums.somethingawful.com/showthread.php?threadid=3340370,EccoRaven,15
Clown College,http://forums.somethingawful.com/showthread.php?threadid=3355072,wins32767,15
DotA Mafia: do not run we are your friends,http://forums.somethingawful.com/showthread.php?threadid=3327891,winvirus,15
The Gateless Gate,http://forums.somethingawful.com/showthread.php?threadid=3360607,LITERALLY MAD IRL,13
Lost II,http://forums.somethingawful.com/showthread.php?threadid=3351598,Deadbeat Dad,30
English Premier League Mafia,http://forums.somethingawful.com/showthread.php?threadid=3349673,Fat Turkey,15
A Eulogy in Euskara - A Game of Mafia,http://forums.somethingawful.com/showthread.php?threadid=3349440,EccoRaven,15
Harry Potter and the Blood of Heroes,http://forums.somethingawful.com/showthread.php?threadid=3340941,soru,25
Megaten Mafia,http://forums.somethingawful.com/showthread.php?threadid=3320508,fitsfadda,38
Terry Gilliam Presents Episode Two: Army of the Twelve Monkeys,http://forums.somethingawful.com/showthread.php?threadid=3327286,Ridonkulous,11
La Calavera de Naffaroa - A Game of Mafia,http://forums.somethingawful.com/showthread.php?threadid=3362530,EccoRaven,15
A Gay Romp in Guernica - A Game of Mafia,http://forums.somethingawful.com/showthread.php?threadid=3356718,EccoRaven,15
Battleception Termination Mafia,http://forums.somethingawful.com/showthread.php?threadid=3356435,Uranium Phoenix,15
I've got you now, Snatcher scum!,http://forums.somethingawful.com/showthread.php?threadid=3362715,Namacuix,13
Consequences Mafia,http://forums.somethingawful.com/showthread.php?threadid=3364962,Chili,13
Dhaesd &amp; Confused 2: Big Game,http://forums.somethingawful.com/showthread.php?threadid=3349963,Dhaes,27
Sharks Are Jerks Mini-Mafia,http://forums.somethingawful.com/showthread.php?threadid=3361242,fitsfadda,13
This Game Sucks!,http://forums.somethingawful.com/showthread.php?threadid=3362341,This Post Sucks,15
Curtis Got Slapped By A White Teacher,http://forums.somethingawful.com/showthread.php?threadid=3365064,winvirus,11
Mafia Gear Solid: Showdown at Shadow Moses,http://forums.somethingawful.com/showthread.php?threadid=3355356,Grinnblade,15
Hello posters.  I want to play a game.,http://forums.somethingawful.com/showthread.php?threadid=3358193,Pander,15
>>> 
